Author	Title	origin author name	original title
Андрей Курпатов	Машина мышления. Том 1		
Андрей Курпатов	Машина мышления. Том 2		
Михаил Лабковский	Хочу и буду. 6 правил счастливой жизни или метод Лабковского в действии		
Иммануил Кант	Критика чистого разума. Критика практического разума. Критика спрособности суждения.		
Jeanne Boyarsky, Scott Selikoff	OCP Oracle Certified Professional Java SE 11 Developer Complete Study Guide		
Эндрю Петтигри	Изобретение новостей. Как мир узнал о самом себе		
Галина Зеленина	Изгои средневековья. "Черные мифы" и реальность.		
Сергей Зотов, Дильшат Харман	Средневековая магия. Визуальная история ведьм и колдунов.		
Л. В. Кованцова, А. Н. Кованцов	Занимательная история математики		
Льюис Керролл	Алиса в Стране Чудес. Алиса в Зазеркалье.	Lewis Carroll	Alice's Adventures in Wonderland. Through The Looking Glass
И. Ильф, Е. Петров	Рассказы, фельетоны, статьи.		
Мартин Гарднер	Математические головоломки и развлечения		Mathematical puzzles and Diversions.
Г. П. Гаврилов, А. А. Сапоженко	Сборник задач по дискретной математике		
Я. И. Перельман	Занимательная физика. Книга 1		
Я. И. Перельман	Занимательная физика. Книга 2		
Я. И. Перельман	Занимательная алгебра		
Я. И. Перельман	Живая математика		
В. Кравцев	Приключения великих уравнений		
Льюис Керролл	История с узелками		
по материалам Л. Успенского, А. Студенцова, Я. Перельмана и др.	Фокусы, загадки, головоломки		
Кэрол Дайхаус	Мужчина мечты	Carol Dyhouse	Heartthrobs. A History of womem and desire.
Станислав Лем	Фиаско	Stanisław Lem	Fiasko
Станислав Лем	Сумма технологий	Stanisław Lem	Summa technologiae
Аркадий и Борис Стругацкие	Улитка на склоне		
Аркадий и Борис Стругацкие	Путь на Амалтею. Стажёры.		
Аркадий и Борис Стругацкие	Отягощённые злом, или сорок лет спустя.		
Аркадий и Борис Стругацкие	Град обречённый.		
Аркадий и Борис Стругацкие	Обитаемый остров.		
Аркадий и Борис Стругацкие	Пикник на обочине.		
Аркадий и Борис Стругацкие	Второе нашествие марсиан. Беспокойство.		
Аркадий и Борис Стругацкие	Жук в муравейнике.		
Аркадий и Борис Стругацкие	Отель "У погибшего альпиниста".		
Аркадий и Борис Стругацкие	Понедельник начинается в субботу		
Аркадий и Борис Стругацкие	Полдень, XXII век		
Аркадий и Борис Стругацкие	Сказка о тройке		
Аркадий и Борис Стругацкие	За миллиард лет до конца света		
Айзек Азимов	Тело человека. Строение и функции	Isaak Asimov	The human body: its structure and Operation
Айзек Азимов	Египет. От древних цивилизаций до соверменности	Isaak Asimov	The Egyptians
Айзек Азимов	Рим. От основания города до падения республики	Isaak Asimov	The Roman Republic
Айзек Азимов	Числа. От арифметики до высшей математики	Isaak Asimov	Realm of Numbers
Айзек Азимов	Англия. От стоунхенджа до великой хартии вольностей	Isaak Asimov	The shaping of England
Айзек Азимов	История США. От глубокой древности до 1918 года	Isaak Asimov	The shaping of North America. The birth of United Stated. Our Federal Union. The Golden Door.
Айзек Азимов	Путеводитель по Библии	Isaak Asimov	Asimov's Guide to The Bible
Айзек Азимов	Путеводитель по Шекспиру. Греческие, римские и итальянские пьесы	Isaak Asimov	Asimov's Guide to Shakespeare. The Greek, Roman and Italian Plays
В. Н. Болховитинов, Б. И. Колтовой, И. К. Лаговский	Твое свободное время		
Edited by Andreas Fingernagel & Christian Gastgeber	The Book of Bibles. The most beautiful illuminated bibles of The Middle Ages		
Frédéric Chaubin	СССР		
Б. Н. Иванов	Дискретная математика. Алгоритмы и программы		
Ральф Каплан	С помощью дизайна. Почему не было замков на дверях ванных комнат в отеле "Людовик XIV" и другие примеры	Ralph Caplan	By Design. Why there are no locks on the bathroom doors in the Hotel Lois XIV and other object lessons
