ID	Image	Sent	Received	Height	Width	Country	City	Sender	Description	Tags
19300000LV	1930 Kuldiga Ventas mala.jpg		01.01.1930	85	134	LV	Kuldiga	bought		
19300000LV2	1930 Ventas tilts.jpg		01.01.1930	87	136	LV	Kuldiga	bought		
19300000LV3	1930 city view.jpg		01.01.1930	85	134	LV	Kuldiga	bought		
19300000LV4	1930 Venta bridge.jpg		01.01.1930	87	138	LV	Kuldiga	bought		
19300000LV5	1930 Edoles castle.jpg		01.01.1930	88	135	LV	Edole	bought	Замок в Эдоле	castle
19300000LV6	1930 Edoles castle 2.jpg		01.01.1930	127	88	LV	Edole	bought	Замок в Эдоле	castle
19730120LV	1973_01_20 14 Senie arhitekturas pieminekli Lenina iela.jpg	20.01.1973		102	140	LV	Kuldiga	bought	Кулдига. Древние памятники архитектуры на улице Ленина.	
19730310LV	1973_03_10 Aleksa upite.jpg	10.03.1973		140	102	LV	Kuldiga	bought	Кулдига. Речка Алекша.	
19730225LV	1973_02_25 Aleksa upite2.jpg	25.02.1973		140	102	LV	Kuldiga	bought	Кулдига. Речка Алекша.	
19720215LV	1972_02_15 Cels us Rendu.jpg	15.02.1972		102	140	LV	Kuldiga	bought	Кулдига. Дорога на Ренду.	
19730301LV	1973_03_01 Dzirnavu aizsplosta udenskritums.jpg	01.03.1973		140	102	LV	Kuldiga	bought	Кулдига. Водопад у мельничной плотины.	
19720305LV	1972_03_05 Eka - arhitekturas piemineklis Padomju iela.jpg	05.03.1972		102	140	LV	Kuldiga	bought	Кулдига. Здание - памятник архитектуры на улице Падомью.	
19730210LV	1973_02_10 K Marksa iela.jpg	10.02.1973		102	140	LV	Kuldiga	bought	Кулдига. Улица К. Маркса.	
19730115LV	1973_01_15 Kuldiga.jpg	15.01.1973		102	140	LV	Kuldiga	bought	Кулдига.	
19730130LV	1973_01_30 LKP Kuldigas rajona komitejas eka, celta 1860 gada italu renesanses stila.jpg	30.01.1973		102	140	LV	Kuldiga	bought	Кулдига. Здание Кулдигского районого КПЛ. Построено в 1860 году в стиле итальянского возрождения.	
19730320LV	1973_03_20 Laukums Padomju iela.jpg	20.03.1973		102	140	LV	Kuldiga	bought	Кулдига. Площадь на улице Падомью.	
19730220LV	1973_02_20 Lenina iela.jpg	20.02.1973		140	102	LV	Kuldiga	bought	Кулдига. Улица Ленина.	
19730121LV	1973_01_21 Tilts par Ventu.jpg	21.01.1973		102	140	LV	Kuldiga	bought	Кулдига. Мост через Венту.	
19730125LV	1973_01_25 Ventas rumba.jpg	25.01.1973		102	140	LV	Kuldiga	bought	Кулдига. Водопад на реке Венте.	
19730315LV	1973_03_15 Ventas rumba2.jpg	15.03.1973		140	102	LV	Kuldiga	bought	Кулдига. Водопад на реке Венте.	
